company_name,inn,gosb_name,holding_name,segment_name_bp,fl_26_qty,fl_25_qty,diff_fl_26_25_qty,fl_unic_25_qty,fl_unic_26_qty,diff_fl_unic_26_25_qty,potential_1q_26,potential_4q_25,potential_3q_25,fl_self_emplyeed_25_qty,fl_gpx_25_qty,fl_self_emplyeed_26_qty,fl_gpx_26_qty,task_dt,last_activity_status,outflow_reason
ООО Ромашка,1234567890,ГОСБ-Центр,Холдинг А,ММБ,1500.0,1400.0,100.0,,,,120000.0,110000.0,105000.0,,,,,,,
АО Пример,1234567891,ГОСБ-Север,,КСБ,2000.0,1800.0,200.0,1700.0,1900.0,200.0,150000.0,140000.0,135000.0,,,,,,,
ЗАО Тест,1234567892,ГОСБ-Юг,Холдинг Б,КФИ,1200.0,1100.0,100.0,,,,100000.0,95000.0,90000.0,,,,,,,
ООО Вектор,1234567893,ГОСБ-Запад,,РГС,1800.0,1700.0,100.0,1600.0,1700.0,100.0,130000.0,125000.0,120000.0,,,,,,,
ПАО Старт,1234567894,ГОСБ-Восток,Холдинг А,СКМ,2200.0,2100.0,100.0,,,,160000.0,155000.0,150000.0,,,,,,,
ООО Альфа,1234567895,ГОСБ-Центр,,ММБ,1600.0,1500.0,100.0,1400.0,1500.0,100.0,125000.0,120000.0,115000.0,,,,,,,
ООО Бета,1234567896,ГОСБ-Север,Холдинг Б,КСБ,1900.0,1800.0,100.0,,,,140000.0,135000.0,130000.0,,,,,,,
ООО Гамма,1234567897,ГОСБ-Юг,,КФИ,1300.0,1200.0,100.0,1100.0,1200.0,100.0,105000.0,100000.0,95000.0,,,,,,,
ООО Дельта,1234567898,ГОСБ-Запад,Холдинг А,РГС,1700.0,1600.0,100.0,,,,125000.0,120000.0,115000.0,,,,,,,
ООО Эпсилон,1234567899,ГОСБ-Восток,,СКМ,2100.0,2000.0,100.0,1900.0,2000.0,100.0,155000.0,150000.0,145000.0,,,,,,,
ООО Зета,1234567900,ГОСБ-Центр,Холдинг Б,ММБ,1400.0,1300.0,100.0,,,,110000.0,105000.0,100000.0,,,,,,,
ООО Ита,1234567901,ГОСБ-Север,,КСБ,1800.0,1700.0,100.0,1600.0,1700.0,100.0,130000.0,125000.0,120000.0,,,,,,,
ООО Ката,1234567902,ГОСБ-Юг,Холдинг А,КФИ,1200.0,1100.0,100.0,,,,100000.0,95000.0,90000.0,,,,,,,
ООО Лямбда,1234567903,ГОСБ-Запад,,РГС,1600.0,1500.0,100.0,1400.0,1500.0,100.0,125000.0,120000.0,115000.0,,,,,,,
ООО Мю,1234567904,ГОСБ-Восток,Холдинг Б,СКМ,2000.0,1900.0,100.0,,,,150000.0,145000.0,140000.0,,,,,,,
ООО Ню,1234567905,ГОСБ-Центр,,ММБ,1500.0,1400.0,100.0,1300.0,1400.0,100.0,120000.0,115000.0,110000.0,,,,,,,
ООО Омикрон,1234567906,ГОСБ-Север,Холдинг А,КСБ,1900.0,1800.0,100.0,,,,140000.0,135000.0,130000.0,,,,,,,
ООО Пи,1234567907,ГОСБ-Юг,,КФИ,1300.0,1200.0,100.0,1100.0,1200.0,100.0,105000.0,100000.0,95000.0,,,,,,,
ООО Ро,1234567908,ГОСБ-Запад,Холдинг Б,РГС,1700.0,1600.0,100.0,,,,125000.0,120000.0,115000.0,,,,,,,
ООО Сигма,1234567909,ГОСБ-Восток,,СКМ,2100.0,2000.0,100.0,1900.0,2000.0,100.0,155000.0,150000.0,145000.0,,,,,,,
ООО Тау,1234567910,ГОСБ-Центр,Холдинг А,ММБ,1400.0,1300.0,100.0,,,,110000.0,105000.0,100000.0,,,,,,,
ООО Упа,1234567911,ГОСБ-Север,,КСБ,1800.0,1700.0,100.0,1600.0,1700.0,100.0,130000.0,125000.0,120000.0,,,,,,,
ООО Фи,1234567912,ГОСБ-Юг,Холдинг Б,КФИ,1200.0,1100.0,100.0,,,,100000.0,95000.0,90000.0,,,,,,,
ООО Хи,1234567913,ГОСБ-Запад,,РГС,1600.0,1500.0,100.0,1400.0,1500.0,100.0,125000.0,120000.0,115000.0,,,,,,,
ООО Пси,1234567914,ГОСБ-Восток,Холдинг А,СКМ,2000.0,1900.0,100.0,,,,150000.0,145000.0,140000.0,,,,,,,
